board,ref,value,kind,role,hole,net,orientation_notes
latch,Rgl,100k,axial_resistor,1,D8,GATE,upright; 100k pulls the latch gate to GND when not driven.; ; ; Do not trim 2; retain at least 7.08 mm below the seated board for latch-L10. Use an insulated link if too short.
latch,Rgl,100k,axial_resistor,2,D9,GND,upright; 100k pulls the latch gate to GND when not driven.; ; ; Do not trim 2; retain at least 7.08 mm below the seated board for latch-L10. Use an insulated link if too short.
latch,Rbtn,1k,axial_resistor,1,F8,GATE,horizontal; 1k limits button-to-latch gate current.; ; ; Do not trim 1; retain at least 7.08 mm below the seated board for latch-L08. Use an insulated link if too short.; Do not trim 2; retain at least 9.62 mm below the seated board for latch-L11. Use an insulated link if too short.
latch,Rbtn,1k,axial_resistor,2,F4,BTN_DIO,horizontal; 1k limits button-to-latch gate current.; ; ; Do not trim 1; retain at least 7.08 mm below the seated board for latch-L08. Use an insulated link if too short.; Do not trim 2; retain at least 9.62 mm below the seated board for latch-L11. Use an insulated link if too short.
latch,Db,1N4148,axial_diode,K,H5,BTN_DIO,horizontal; Black band = cathode K at H5 (BTN_DIO); unbanded anode A at H1 (BTN_N).; ; ; Do not trim A; retain at least 7.08 mm below the seated board for latch-L12. Use an insulated link if too short.
latch,Db,1N4148,axial_diode,A,H1,BTN_N,horizontal; Black band = cathode K at H5 (BTN_DIO); unbanded anode A at H1 (BTN_N).; ; ; Do not trim A; retain at least 7.08 mm below the seated board for latch-L12. Use an insulated link if too short.
latch,Rs1,100k,axial_resistor,1,J1,BTN_N,horizontal; 100k upper half of the analog button divider.; ; ; Do not trim 2; retain at least 7.08 mm below the seated board for latch-L13. Use an insulated link if too short.
latch,Rs1,100k,axial_resistor,2,J5,SENSE,horizontal; 100k upper half of the analog button divider.; ; ; Do not trim 2; retain at least 7.08 mm below the seated board for latch-L13. Use an insulated link if too short.
latch,Rs2,100k,axial_resistor,1,J7,SENSE,horizontal; 100k lower half of the analog button divider.
latch,Rs2,100k,axial_resistor,2,J11,GND,horizontal; 100k lower half of the analog button divider.
driver,Q1,BS170,TO92,D,A2,LED_G,"formed_role_leads; Low-side switch: drain to LED return, source to GND.; Identify actual manufacturer pin roles before insertion. The drawing does not specify flat-face left-to-right order. Form and insulate leads to the role-labelled holes; visual body entry points are schematic."
driver,Q1,BS170,TO92,G,B2,GATE_G,"formed_role_leads; Low-side switch: drain to LED return, source to GND.; Identify actual manufacturer pin roles before insertion. The drawing does not specify flat-face left-to-right order. Form and insulate leads to the role-labelled holes; visual body entry points are schematic."
driver,Q1,BS170,TO92,S,C2,GND,"formed_role_leads; Low-side switch: drain to LED return, source to GND.; Identify actual manufacturer pin roles before insertion. The drawing does not specify flat-face left-to-right order. Form and insulate leads to the role-labelled holes; visual body entry points are schematic."
driver,Rg1,100,axial_resistor,a,D2,PWM_G,upright; 100 ohm gate series resistor. Body at a; insulated return leg at b. Either electrical direction.
driver,Rg1,100,axial_resistor,b,D3,GATE_G,upright; 100 ohm gate series resistor. Body at a; insulated return leg at b. Either electrical direction.
driver,Rp1,10k,axial_resistor,a,E3,GATE_G,upright; 10k gate pulldown. Body at a; insulated return leg at b. Either electrical direction.
driver,Rp1,10k,axial_resistor,b,E2,GND,upright; 10k gate pulldown. Body at a; insulated return leg at b. Either electrical direction.
driver,Q2,BS170,TO92,D,A4,LED_R,"formed_role_leads; Low-side switch: drain to LED return, source to GND.; Identify actual manufacturer pin roles before insertion. The drawing does not specify flat-face left-to-right order. Form and insulate leads to the role-labelled holes; visual body entry points are schematic."
driver,Q2,BS170,TO92,G,B4,GATE_R,"formed_role_leads; Low-side switch: drain to LED return, source to GND.; Identify actual manufacturer pin roles before insertion. The drawing does not specify flat-face left-to-right order. Form and insulate leads to the role-labelled holes; visual body entry points are schematic."
driver,Q2,BS170,TO92,S,C4,GND,"formed_role_leads; Low-side switch: drain to LED return, source to GND.; Identify actual manufacturer pin roles before insertion. The drawing does not specify flat-face left-to-right order. Form and insulate leads to the role-labelled holes; visual body entry points are schematic."
driver,Rg2,100,axial_resistor,a,D4,PWM_R,upright; 100 ohm gate series resistor. Body at a; insulated return leg at b. Either electrical direction.
driver,Rg2,100,axial_resistor,b,D5,GATE_R,upright; 100 ohm gate series resistor. Body at a; insulated return leg at b. Either electrical direction.
driver,Rp2,10k,axial_resistor,a,E5,GATE_R,upright; 10k gate pulldown. Body at a; insulated return leg at b. Either electrical direction.
driver,Rp2,10k,axial_resistor,b,E4,GND,upright; 10k gate pulldown. Body at a; insulated return leg at b. Either electrical direction.
driver,Q3,BS170,TO92,D,A6,LED_B,"formed_role_leads; Low-side switch: drain to LED return, source to GND.; Identify actual manufacturer pin roles before insertion. The drawing does not specify flat-face left-to-right order. Form and insulate leads to the role-labelled holes; visual body entry points are schematic."
driver,Q3,BS170,TO92,G,B6,GATE_B,"formed_role_leads; Low-side switch: drain to LED return, source to GND.; Identify actual manufacturer pin roles before insertion. The drawing does not specify flat-face left-to-right order. Form and insulate leads to the role-labelled holes; visual body entry points are schematic."
driver,Q3,BS170,TO92,S,C6,GND,"formed_role_leads; Low-side switch: drain to LED return, source to GND.; Identify actual manufacturer pin roles before insertion. The drawing does not specify flat-face left-to-right order. Form and insulate leads to the role-labelled holes; visual body entry points are schematic."
driver,Rg3,100,axial_resistor,a,D6,PWM_B,upright; 100 ohm gate series resistor. Body at a; insulated return leg at b. Either electrical direction.
driver,Rg3,100,axial_resistor,b,D7,GATE_B,upright; 100 ohm gate series resistor. Body at a; insulated return leg at b. Either electrical direction.
driver,Rp3,10k,axial_resistor,a,E7,GATE_B,upright; 10k gate pulldown. Body at a; insulated return leg at b. Either electrical direction.
driver,Rp3,10k,axial_resistor,b,E6,GND,upright; 10k gate pulldown. Body at a; insulated return leg at b. Either electrical direction.
driver,Q4,BS170,TO92,D,A8,LED_WW,"formed_role_leads; Low-side switch: drain to LED return, source to GND.; Identify actual manufacturer pin roles before insertion. The drawing does not specify flat-face left-to-right order. Form and insulate leads to the role-labelled holes; visual body entry points are schematic."
driver,Q4,BS170,TO92,G,B8,GATE_WW,"formed_role_leads; Low-side switch: drain to LED return, source to GND.; Identify actual manufacturer pin roles before insertion. The drawing does not specify flat-face left-to-right order. Form and insulate leads to the role-labelled holes; visual body entry points are schematic."
driver,Q4,BS170,TO92,S,C8,GND,"formed_role_leads; Low-side switch: drain to LED return, source to GND.; Identify actual manufacturer pin roles before insertion. The drawing does not specify flat-face left-to-right order. Form and insulate leads to the role-labelled holes; visual body entry points are schematic."
driver,Rg4,100,axial_resistor,a,D8,PWM_WW,upright; 100 ohm gate series resistor. Body at a; insulated return leg at b. Either electrical direction.
driver,Rg4,100,axial_resistor,b,D9,GATE_WW,upright; 100 ohm gate series resistor. Body at a; insulated return leg at b. Either electrical direction.
driver,Rp4,10k,axial_resistor,a,E9,GATE_WW,upright; 10k gate pulldown. Body at a; insulated return leg at b. Either electrical direction.
driver,Rp4,10k,axial_resistor,b,E8,GND,upright; 10k gate pulldown. Body at a; insulated return leg at b. Either electrical direction.
driver,Q5,BS170,TO92,D,A10,LED_CW,"formed_role_leads; Low-side switch: drain to LED return, source to GND.; Identify actual manufacturer pin roles before insertion. The drawing does not specify flat-face left-to-right order. Form and insulate leads to the role-labelled holes; visual body entry points are schematic."
driver,Q5,BS170,TO92,G,B10,GATE_CW,"formed_role_leads; Low-side switch: drain to LED return, source to GND.; Identify actual manufacturer pin roles before insertion. The drawing does not specify flat-face left-to-right order. Form and insulate leads to the role-labelled holes; visual body entry points are schematic."
driver,Q5,BS170,TO92,S,C10,GND,"formed_role_leads; Low-side switch: drain to LED return, source to GND.; Identify actual manufacturer pin roles before insertion. The drawing does not specify flat-face left-to-right order. Form and insulate leads to the role-labelled holes; visual body entry points are schematic."
driver,Rg5,100,axial_resistor,a,D10,PWM_CW,upright; 100 ohm gate series resistor. Body at a; insulated return leg at b. Either electrical direction.
driver,Rg5,100,axial_resistor,b,D11,GATE_CW,upright; 100 ohm gate series resistor. Body at a; insulated return leg at b. Either electrical direction.
driver,Rp5,10k,axial_resistor,a,E11,GATE_CW,upright; 10k gate pulldown. Body at a; insulated return leg at b. Either electrical direction.
driver,Rp5,10k,axial_resistor,b,E10,GND,upright; 10k gate pulldown. Body at a; insulated return leg at b. Either electrical direction.
combined,QP,SS8550,TO92,E,B2,OUT+,"formed_role_leads; PNP high-side switch: E to protected OUT+, B to PB, C to VSW.; Identify actual manufacturer pin roles before insertion. The drawing does not specify flat-face left-to-right order. Form and insulate leads to the role-labelled holes; visual body entry points are schematic.; ; Do not trim E; retain at least 7.08 mm below the seated board for combined-L02. Use an insulated link if too short.; Do not trim B; retain at least 7.08 mm below the seated board for combined-L04. Use an insulated link if too short.; Do not trim C; retain at least 7.08 mm below the seated board for combined-L05. Use an insulated link if too short."
combined,QP,SS8550,TO92,B,B3,PB,"formed_role_leads; PNP high-side switch: E to protected OUT+, B to PB, C to VSW.; Identify actual manufacturer pin roles before insertion. The drawing does not specify flat-face left-to-right order. Form and insulate leads to the role-labelled holes; visual body entry points are schematic.; ; Do not trim E; retain at least 7.08 mm below the seated board for combined-L02. Use an insulated link if too short.; Do not trim B; retain at least 7.08 mm below the seated board for combined-L04. Use an insulated link if too short.; Do not trim C; retain at least 7.08 mm below the seated board for combined-L05. Use an insulated link if too short."
combined,QP,SS8550,TO92,C,B4,VSW,"formed_role_leads; PNP high-side switch: E to protected OUT+, B to PB, C to VSW.; Identify actual manufacturer pin roles before insertion. The drawing does not specify flat-face left-to-right order. Form and insulate leads to the role-labelled holes; visual body entry points are schematic.; ; Do not trim E; retain at least 7.08 mm below the seated board for combined-L02. Use an insulated link if too short.; Do not trim B; retain at least 7.08 mm below the seated board for combined-L04. Use an insulated link if too short.; Do not trim C; retain at least 7.08 mm below the seated board for combined-L05. Use an insulated link if too short."
combined,QL,BS170,TO92,D,B7,LDRV,"formed_role_leads; Latch MOSFET: D sinks LDRV, G is latch control, S is system GND.; Identify actual manufacturer pin roles before insertion. The drawing does not specify flat-face left-to-right order. Form and insulate leads to the role-labelled holes; visual body entry points are schematic.; ; Do not trim G; retain at least 7.08 mm below the seated board for combined-L07. Use an insulated link if too short.; Do not trim S; retain at least 7.08 mm below the seated board for combined-L09. Use an insulated link if too short."
combined,QL,BS170,TO92,G,B8,GATE,"formed_role_leads; Latch MOSFET: D sinks LDRV, G is latch control, S is system GND.; Identify actual manufacturer pin roles before insertion. The drawing does not specify flat-face left-to-right order. Form and insulate leads to the role-labelled holes; visual body entry points are schematic.; ; Do not trim G; retain at least 7.08 mm below the seated board for combined-L07. Use an insulated link if too short.; Do not trim S; retain at least 7.08 mm below the seated board for combined-L09. Use an insulated link if too short."
combined,QL,BS170,TO92,S,B9,GND,"formed_role_leads; Latch MOSFET: D sinks LDRV, G is latch control, S is system GND.; Identify actual manufacturer pin roles before insertion. The drawing does not specify flat-face left-to-right order. Form and insulate leads to the role-labelled holes; visual body entry points are schematic.; ; Do not trim G; retain at least 7.08 mm below the seated board for combined-L07. Use an insulated link if too short.; Do not trim S; retain at least 7.08 mm below the seated board for combined-L09. Use an insulated link if too short."
combined,Rbe,100k,axial_resistor,1,D1,OUT+,upright; 100k pulls QP base toward its emitter to turn power off.; ; ; Do not trim 1; retain at least 9.62 mm below the seated board for combined-L01. Use an insulated link if too short.; Do not trim 2; retain at least 4.54 mm below the seated board for combined-L03. Use an insulated link if too short.
combined,Rbe,100k,axial_resistor,2,D2,PB,upright; 100k pulls QP base toward its emitter to turn power off.; ; ; Do not trim 1; retain at least 9.62 mm below the seated board for combined-L01. Use an insulated link if too short.; Do not trim 2; retain at least 4.54 mm below the seated board for combined-L03. Use an insulated link if too short.
combined,Rb,330,axial_resistor,1,D3,PB,horizontal; 330 ohm limits QP base current between PB and LDRV.; ; ; Do not trim 2; retain at least 7.08 mm below the seated board for combined-L06. Use an insulated link if too short.
combined,Rb,330,axial_resistor,2,D7,LDRV,horizontal; 330 ohm limits QP base current between PB and LDRV.; ; ; Do not trim 2; retain at least 7.08 mm below the seated board for combined-L06. Use an insulated link if too short.
combined,Rgl,100k,axial_resistor,1,D8,GATE,upright; 100k pulls the latch gate to GND when not driven.; ; ; Do not trim 2; retain at least 7.08 mm below the seated board for combined-L10. Use an insulated link if too short.
combined,Rgl,100k,axial_resistor,2,D9,GND,upright; 100k pulls the latch gate to GND when not driven.; ; ; Do not trim 2; retain at least 7.08 mm below the seated board for combined-L10. Use an insulated link if too short.
combined,Rbtn,1k,axial_resistor,1,F8,GATE,horizontal; 1k limits button-to-latch gate current.; ; ; Do not trim 1; retain at least 7.08 mm below the seated board for combined-L08. Use an insulated link if too short.; Do not trim 2; retain at least 9.62 mm below the seated board for combined-L11. Use an insulated link if too short.
combined,Rbtn,1k,axial_resistor,2,F4,BTN_DIO,horizontal; 1k limits button-to-latch gate current.; ; ; Do not trim 1; retain at least 7.08 mm below the seated board for combined-L08. Use an insulated link if too short.; Do not trim 2; retain at least 9.62 mm below the seated board for combined-L11. Use an insulated link if too short.
combined,Db,1N4148,axial_diode,K,H5,BTN_DIO,horizontal; Black band = cathode K at H5 (BTN_DIO); unbanded anode A at H1 (BTN_N).; ; ; Do not trim A; retain at least 7.08 mm below the seated board for combined-L12. Use an insulated link if too short.
combined,Db,1N4148,axial_diode,A,H1,BTN_N,horizontal; Black band = cathode K at H5 (BTN_DIO); unbanded anode A at H1 (BTN_N).; ; ; Do not trim A; retain at least 7.08 mm below the seated board for combined-L12. Use an insulated link if too short.
combined,Rs1,100k,axial_resistor,1,J1,BTN_N,horizontal; 100k upper half of the analog button divider.; ; ; Do not trim 2; retain at least 7.08 mm below the seated board for combined-L13. Use an insulated link if too short.
combined,Rs1,100k,axial_resistor,2,J5,SENSE,horizontal; 100k upper half of the analog button divider.; ; ; Do not trim 2; retain at least 7.08 mm below the seated board for combined-L13. Use an insulated link if too short.
combined,Rs2,100k,axial_resistor,1,J7,SENSE,horizontal; 100k lower half of the analog button divider.
combined,Rs2,100k,axial_resistor,2,J11,GND,horizontal; 100k lower half of the analog button divider.
combined,Q1,BS170,TO92,D,A13,LED_G,"formed_role_leads; Low-side switch: drain to LED return, source to GND.; Identify actual manufacturer pin roles before insertion. The drawing does not specify flat-face left-to-right order. Form and insulate leads to the role-labelled holes; visual body entry points are schematic."
combined,Q1,BS170,TO92,G,B13,GATE_G,"formed_role_leads; Low-side switch: drain to LED return, source to GND.; Identify actual manufacturer pin roles before insertion. The drawing does not specify flat-face left-to-right order. Form and insulate leads to the role-labelled holes; visual body entry points are schematic."
combined,Q1,BS170,TO92,S,C13,GND,"formed_role_leads; Low-side switch: drain to LED return, source to GND.; Identify actual manufacturer pin roles before insertion. The drawing does not specify flat-face left-to-right order. Form and insulate leads to the role-labelled holes; visual body entry points are schematic."
combined,Rg1,100,axial_resistor,a,D13,PWM_G,upright; 100 ohm gate series resistor. Body at a; insulated return leg at b. Either electrical direction.
combined,Rg1,100,axial_resistor,b,D14,GATE_G,upright; 100 ohm gate series resistor. Body at a; insulated return leg at b. Either electrical direction.
combined,Rp1,10k,axial_resistor,a,E14,GATE_G,upright; 10k gate pulldown. Body at a; insulated return leg at b. Either electrical direction.
combined,Rp1,10k,axial_resistor,b,E13,GND,upright; 10k gate pulldown. Body at a; insulated return leg at b. Either electrical direction.
combined,Q2,BS170,TO92,D,A15,LED_R,"formed_role_leads; Low-side switch: drain to LED return, source to GND.; Identify actual manufacturer pin roles before insertion. The drawing does not specify flat-face left-to-right order. Form and insulate leads to the role-labelled holes; visual body entry points are schematic."
combined,Q2,BS170,TO92,G,B15,GATE_R,"formed_role_leads; Low-side switch: drain to LED return, source to GND.; Identify actual manufacturer pin roles before insertion. The drawing does not specify flat-face left-to-right order. Form and insulate leads to the role-labelled holes; visual body entry points are schematic."
combined,Q2,BS170,TO92,S,C15,GND,"formed_role_leads; Low-side switch: drain to LED return, source to GND.; Identify actual manufacturer pin roles before insertion. The drawing does not specify flat-face left-to-right order. Form and insulate leads to the role-labelled holes; visual body entry points are schematic."
combined,Rg2,100,axial_resistor,a,D15,PWM_R,upright; 100 ohm gate series resistor. Body at a; insulated return leg at b. Either electrical direction.
combined,Rg2,100,axial_resistor,b,D16,GATE_R,upright; 100 ohm gate series resistor. Body at a; insulated return leg at b. Either electrical direction.
combined,Rp2,10k,axial_resistor,a,E16,GATE_R,upright; 10k gate pulldown. Body at a; insulated return leg at b. Either electrical direction.
combined,Rp2,10k,axial_resistor,b,E15,GND,upright; 10k gate pulldown. Body at a; insulated return leg at b. Either electrical direction.
combined,Q3,BS170,TO92,D,A17,LED_B,"formed_role_leads; Low-side switch: drain to LED return, source to GND.; Identify actual manufacturer pin roles before insertion. The drawing does not specify flat-face left-to-right order. Form and insulate leads to the role-labelled holes; visual body entry points are schematic."
combined,Q3,BS170,TO92,G,B17,GATE_B,"formed_role_leads; Low-side switch: drain to LED return, source to GND.; Identify actual manufacturer pin roles before insertion. The drawing does not specify flat-face left-to-right order. Form and insulate leads to the role-labelled holes; visual body entry points are schematic."
combined,Q3,BS170,TO92,S,C17,GND,"formed_role_leads; Low-side switch: drain to LED return, source to GND.; Identify actual manufacturer pin roles before insertion. The drawing does not specify flat-face left-to-right order. Form and insulate leads to the role-labelled holes; visual body entry points are schematic."
combined,Rg3,100,axial_resistor,a,D17,PWM_B,upright; 100 ohm gate series resistor. Body at a; insulated return leg at b. Either electrical direction.
combined,Rg3,100,axial_resistor,b,D18,GATE_B,upright; 100 ohm gate series resistor. Body at a; insulated return leg at b. Either electrical direction.
combined,Rp3,10k,axial_resistor,a,E18,GATE_B,upright; 10k gate pulldown. Body at a; insulated return leg at b. Either electrical direction.
combined,Rp3,10k,axial_resistor,b,E17,GND,upright; 10k gate pulldown. Body at a; insulated return leg at b. Either electrical direction.
combined,Q4,BS170,TO92,D,A19,LED_WW,"formed_role_leads; Low-side switch: drain to LED return, source to GND.; Identify actual manufacturer pin roles before insertion. The drawing does not specify flat-face left-to-right order. Form and insulate leads to the role-labelled holes; visual body entry points are schematic."
combined,Q4,BS170,TO92,G,B19,GATE_WW,"formed_role_leads; Low-side switch: drain to LED return, source to GND.; Identify actual manufacturer pin roles before insertion. The drawing does not specify flat-face left-to-right order. Form and insulate leads to the role-labelled holes; visual body entry points are schematic."
combined,Q4,BS170,TO92,S,C19,GND,"formed_role_leads; Low-side switch: drain to LED return, source to GND.; Identify actual manufacturer pin roles before insertion. The drawing does not specify flat-face left-to-right order. Form and insulate leads to the role-labelled holes; visual body entry points are schematic."
combined,Rg4,100,axial_resistor,a,D19,PWM_WW,upright; 100 ohm gate series resistor. Body at a; insulated return leg at b. Either electrical direction.
combined,Rg4,100,axial_resistor,b,D20,GATE_WW,upright; 100 ohm gate series resistor. Body at a; insulated return leg at b. Either electrical direction.
combined,Rp4,10k,axial_resistor,a,E20,GATE_WW,upright; 10k gate pulldown. Body at a; insulated return leg at b. Either electrical direction.
combined,Rp4,10k,axial_resistor,b,E19,GND,upright; 10k gate pulldown. Body at a; insulated return leg at b. Either electrical direction.
combined,Q5,BS170,TO92,D,A21,LED_CW,"formed_role_leads; Low-side switch: drain to LED return, source to GND.; Identify actual manufacturer pin roles before insertion. The drawing does not specify flat-face left-to-right order. Form and insulate leads to the role-labelled holes; visual body entry points are schematic."
combined,Q5,BS170,TO92,G,B21,GATE_CW,"formed_role_leads; Low-side switch: drain to LED return, source to GND.; Identify actual manufacturer pin roles before insertion. The drawing does not specify flat-face left-to-right order. Form and insulate leads to the role-labelled holes; visual body entry points are schematic."
combined,Q5,BS170,TO92,S,C21,GND,"formed_role_leads; Low-side switch: drain to LED return, source to GND.; Identify actual manufacturer pin roles before insertion. The drawing does not specify flat-face left-to-right order. Form and insulate leads to the role-labelled holes; visual body entry points are schematic."
combined,Rg5,100,axial_resistor,a,D21,PWM_CW,upright; 100 ohm gate series resistor. Body at a; insulated return leg at b. Either electrical direction.
combined,Rg5,100,axial_resistor,b,D22,GATE_CW,upright; 100 ohm gate series resistor. Body at a; insulated return leg at b. Either electrical direction.
combined,Rp5,10k,axial_resistor,a,E22,GATE_CW,upright; 10k gate pulldown. Body at a; insulated return leg at b. Either electrical direction.
combined,Rp5,10k,axial_resistor,b,E21,GND,upright; 10k gate pulldown. Body at a; insulated return leg at b. Either electrical direction.
carrier,UUV,TLV803EA30DBZR,SOT23_adapter,GND,Q4,GND,"adapter_pins; Standard DBZ pinout only: pin1 GND, pin2 active-low open-drain RESET, pin3 VDD. Do not substitute R/V bondouts or a push-pull supervisor.; 3.08 V falling threshold (3.0184–3.1416 V specified range), 130–270 ms release. VDD senses SW_SYS; RESET clamps QH base. Held START bypasses until released; physical shutdown qualification pending.; ; Do not trim UUV.GND at Q4: retain to GND window 1.5 mm below underside; solder then trim excess. Do not trim UUV.VDD at R7: retain to SW_SYS window 1.5 mm below underside; solder then trim excess."
carrier,UUV,TLV803EA30DBZR,SOT23_adapter,RESET,R4,H_BASE,"adapter_pins; Standard DBZ pinout only: pin1 GND, pin2 active-low open-drain RESET, pin3 VDD. Do not substitute R/V bondouts or a push-pull supervisor.; 3.08 V falling threshold (3.0184–3.1416 V specified range), 130–270 ms release. VDD senses SW_SYS; RESET clamps QH base. Held START bypasses until released; physical shutdown qualification pending.; ; Do not trim UUV.GND at Q4: retain to GND window 1.5 mm below underside; solder then trim excess. Do not trim UUV.VDD at R7: retain to SW_SYS window 1.5 mm below underside; solder then trim excess."
carrier,UUV,TLV803EA30DBZR,SOT23_adapter,VDD,R7,SW_SYS,"adapter_pins; Standard DBZ pinout only: pin1 GND, pin2 active-low open-drain RESET, pin3 VDD. Do not substitute R/V bondouts or a push-pull supervisor.; 3.08 V falling threshold (3.0184–3.1416 V specified range), 130–270 ms release. VDD senses SW_SYS; RESET clamps QH base. Held START bypasses until released; physical shutdown qualification pending.; ; Do not trim UUV.GND at Q4: retain to GND window 1.5 mm below underside; solder then trim excess. Do not trim UUV.VDD at R7: retain to SW_SYS window 1.5 mm below underside; solder then trim excess."
carrier,CUV,100nF ≥16V ceramic,radial_capacitor,1,U7,SW_SYS,radial; Nonpolar 100 nF ceramic bypass; keep its insulated SW_SYS/GND branch to UUV short; actual lead forming and fit require inspection.; ; Do not trim CUV.2 at U8: retain to GND window 1.5 mm below underside; solder then trim excess. Do not trim CUV.1 at U7: retain to SW_SYS window 1.5 mm below underside; solder then trim excess.
carrier,CUV,100nF ≥16V ceramic,radial_capacitor,2,U8,GND,radial; Nonpolar 100 nF ceramic bypass; keep its insulated SW_SYS/GND branch to UUV short; actual lead forming and fit require inspection.; ; Do not trim CUV.2 at U8: retain to GND window 1.5 mm below underside; solder then trim excess. Do not trim CUV.1 at U7: retain to SW_SYS window 1.5 mm below underside; solder then trim excess.
carrier,QP,2 × DMP2035U,SOT23_adapter,G1,U2,P_GATE,"adapter_pins; Both DMP2035U devices share G, S and D through the listed carrier wires.; Use 22 AWG power bridges; qualification must measure current sharing, adapter drop and temperature.; ; Do not trim QP.G1 at U2: retain to P_GATE window 2.9 mm below underside; solder then trim excess. Do not trim QP.D1 at V5: retain to SW_SYS window 1.5 mm below underside; solder then trim excess. Do not trim QP.S2 at T5: retain to SYS window 1.5 mm below underside; solder then trim excess."
carrier,QP,2 × DMP2035U,SOT23_adapter,S1,V2,SYS,"adapter_pins; Both DMP2035U devices share G, S and D through the listed carrier wires.; Use 22 AWG power bridges; qualification must measure current sharing, adapter drop and temperature.; ; Do not trim QP.G1 at U2: retain to P_GATE window 2.9 mm below underside; solder then trim excess. Do not trim QP.D1 at V5: retain to SW_SYS window 1.5 mm below underside; solder then trim excess. Do not trim QP.S2 at T5: retain to SYS window 1.5 mm below underside; solder then trim excess."
